Belge ID,Birim,Belge Başlığı,Belge İçeriği
1,İnsan Kaynakları,İşten Ayrılma Bildirimi,"Çalışan Banu Sarı, evlilik hazırlıkları nedeniyle işten ayrılma talebini iletmiştir. Ayrılış tarihi 30 Ağustos olarak belirlenmiştir. Devir teslim planı hazırlanmıştır."
2,İnsan Kaynakları,Disiplin Kararı Bildirimi,"Çalışan Ahmet Yılmaz, davranış kuralları ihlali olayı nedeniyle disiplin kuruluna sevk edilmiştir. Kurul sonucu yazılı uyarı olarak açıklanmıştır."
3,İnsan Kaynakları,Disiplin Kararı Bildirimi,"Çalışan Zeynep Korkmaz, gizlilik ihlali olayı nedeniyle disiplin kuruluna sevk edilmiştir. Kurul sonucu görev değişikliği olarak açıklanmıştır."
4,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Banu Sarı, başarılı performansı sonucunda Departman Müdürü pozisyonuna terfi etmiştir. Terfi tarihi 15 Temmuz olarak belirlenmiştir. Tebrik ederiz."
5,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Ahmet Yılmaz, başarılı performansı sonucunda Kıdemli Uzman pozisyonuna terfi etmiştir. Terfi tarihi 30 Ağustos olarak belirlenmiştir. Tebrik ederiz."
6,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Hakan Özdemir, 15 Ocak tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
7,İnsan Kaynakları,Disiplin Kararı Bildirimi,"Çalışan Mehmet Kaya, etik kural ihlali olayı nedeniyle disiplin kuruluna sevk edilmiştir. Kurul sonucu görev değişikliği olarak açıklanmıştır."
8,İnsan Kaynakları,Eğitim Katılım Raporu,"Ahmet Yılmaz, veri analitiği eğitimi eğitimine katılım sağlamıştır. Eğitimin içeriği ve sonuç raporu ekte yer almaktadır. Eğitim sonrası başarı oranı %80 olarak ölçülmüştür."
9,İnsan Kaynakları,Çalışan Şikayeti,"Çalışan Zeynep Korkmaz, fazla mesai ile ilgili şikayetini İnsan Kaynakları'na iletmiştir. Sorunun çözülmesi için gerekli birimler bilgilendirilmiş ve bir aksiyon planı oluşturulmuştur."
10,İnsan Kaynakları,Çalışan İzin Talebi,"Çalışan Deniz Öztürk, yıllık izin nedeniyle yıllık izin talebinde bulunmuştur. İzin süresi 1 Ocak - 14 Mayıs tarihleri arasını kapsamaktadır. Talep edilen izin, Banu Uysal tarafından onay beklemektedir."
11,İnsan Kaynakları,Eğitim Katılım Raporu,"Deniz Öztürk, liderlik eğitimi eğitimine katılım sağlamıştır. Eğitimin içeriği ve sonuç raporu ekte yer almaktadır. Eğitim sonrası başarı oranı %80 olarak ölçülmüştür."
12,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Ayşe Demir, başarılı performansı sonucunda Birim Sorumlusu pozisyonuna terfi etmiştir. Terfi tarihi 30 Ağustos olarak belirlenmiştir. Tebrik ederiz."
13,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Ayşe Demir, 15 Temmuz tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
14,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Banu Sarı, başarılı performansı sonucunda Birim Sorumlusu pozisyonuna terfi etmiştir. Terfi tarihi 30 Ağustos olarak belirlenmiştir. Tebrik ederiz."
15,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Hakan Özdemir, 25 Aralık tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
16,İnsan Kaynakları,İşten Ayrılma Bildirimi,"Çalışan Hakan Özdemir, sağlık sorunu nedeniyle işten ayrılma talebini iletmiştir. Ayrılış tarihi 1 Eylül olarak belirlenmiştir. Devir teslim planı hazırlanmıştır."
17,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Zeynep Korkmaz, 15 Ocak tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
18,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Ahmet Yılmaz, başarılı performansı sonucunda Kıdemli Uzman pozisyonuna terfi etmiştir. Terfi tarihi 20 Şubat olarak belirlenmiştir. Tebrik ederiz."
19,İnsan Kaynakları,Eğitim Katılım Raporu,"Zeynep Korkmaz, müşteri ilişkileri eğitimi eğitimine katılım sağlamıştır. Eğitimin içeriği ve sonuç raporu ekte yer almaktadır. Eğitim sonrası başarı oranı %80 olarak ölçülmüştür."
20,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Mehmet Kaya, başarılı performansı sonucunda Birim Sorumlusu pozisyonuna terfi etmiştir. Terfi tarihi 30 Ağustos olarak belirlenmiştir. Tebrik ederiz."
21,İnsan Kaynakları,Performans Değerlendirme,"Deniz Öztürk, yıl sonu performans değerlendirmesinde C not almıştır. Değerlendirme kriterleri arasında hedef gerçekleştirme, takım çalışması ve problem çözme becerileri yer almaktadır. Detaylı rapor ekte sunulmuştur."
22,İnsan Kaynakları,Performans Değerlendirme,"Ahmet Yılmaz, yıl sonu performans değerlendirmesinde D not almıştır. Değerlendirme kriterleri arasında hedef gerçekleştirme, takım çalışması ve problem çözme becerileri yer almaktadır. Detaylı rapor ekte sunulmuştur."
23,İnsan Kaynakları,Performans Değerlendirme,"Deniz Öztürk, yıl sonu performans değerlendirmesinde C not almıştır. Değerlendirme kriterleri arasında hedef gerçekleştirme, takım çalışması ve problem çözme becerileri yer almaktadır. Detaylı rapor ekte sunulmuştur."
24,İnsan Kaynakları,Çalışan Şikayeti,"Çalışan Banu Sarı, personel sorunları ile ilgili şikayetini İnsan Kaynakları'na iletmiştir. Sorunun çözülmesi için gerekli birimler bilgilendirilmiş ve bir aksiyon planı oluşturulmuştur."
25,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Fatma Özkan, 30 Mayıs tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
26,İnsan Kaynakları,Performans Değerlendirme,"Ayşe Demir, yıl sonu performans değerlendirmesinde A not almıştır. Değerlendirme kriterleri arasında hedef gerçekleştirme, takım çalışması ve problem çözme becerileri yer almaktadır. Detaylı rapor ekte sunulmuştur."
27,İnsan Kaynakları,Çalışan Şikayeti,"Çalışan Ali Çelik, ödeme gecikmesi ile ilgili şikayetini İnsan Kaynakları'na iletmiştir. Sorunun çözülmesi için gerekli birimler bilgilendirilmiş ve bir aksiyon planı oluşturulmuştur."
28,İnsan Kaynakları,İşten Ayrılma Bildirimi,"Çalışan Ahmet Yılmaz, sağlık sorunu nedeniyle işten ayrılma talebini iletmiştir. Ayrılış tarihi 20 Şubat olarak belirlenmiştir. Devir teslim planı hazırlanmıştır."
29,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Ayşe Demir, başarılı performansı sonucunda Birim Sorumlusu pozisyonuna terfi etmiştir. Terfi tarihi 1 Eylül olarak belirlenmiştir. Tebrik ederiz."
30,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Ali Çelik, 15 Ocak tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
31,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Mehmet Kaya, başarılı performansı sonucunda Kıdemli Uzman pozisyonuna terfi etmiştir. Terfi tarihi 20 Şubat olarak belirlenmiştir. Tebrik ederiz."
32,İnsan Kaynakları,Terfi Bildirimi,"Çalışan Ahmet Yılmaz, başarılı performansı sonucunda Proje Yöneticisi pozisyonuna terfi etmiştir. Terfi tarihi 1 Eylül olarak belirlenmiştir. Tebrik ederiz."
33,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Zeynep Korkmaz, 20 Şubat tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
34,İnsan Kaynakları,Eğitim Katılım Raporu,"Deniz Öztürk, liderlik eğitimi eğitimine katılım sağlamıştır. Eğitimin içeriği ve sonuç raporu ekte yer almaktadır. Eğitim sonrası başarı oranı %80 olarak ölçülmüştür."
35,İnsan Kaynakları,Çalışan Şikayeti,"Çalışan Ahmet Yılmaz, fazla mesai ile ilgili şikayetini İnsan Kaynakları'na iletmiştir. Sorunun çözülmesi için gerekli birimler bilgilendirilmiş ve bir aksiyon planı oluşturulmuştur."
36,İnsan Kaynakları,Disiplin Kararı Bildirimi,"Çalışan Deniz Öztürk, etik kural ihlali olayı nedeniyle disiplin kuruluna sevk edilmiştir. Kurul sonucu eğitime yönlendirme olarak açıklanmıştır."
37,İnsan Kaynakları,Çalışan Şikayeti,"Çalışan Zeynep Korkmaz, personel sorunları ile ilgili şikayetini İnsan Kaynakları'na iletmiştir. Sorunun çözülmesi için gerekli birimler bilgilendirilmiş ve bir aksiyon planı oluşturulmuştur."
38,İnsan Kaynakları,Yeni Çalışan Oryantasyonu,"Yeni işe başlayan Zeynep Korkmaz, 1 Eylül tarihinde oryantasyon programına katılım sağlamıştır. Program detayları ve içerikleri ekte yer almaktadır."
39,İnsan Kaynakları,Çalışan Şikayeti,"Çalışan Ayşe Demir, ödeme gecikmesi ile ilgili şikayetini İnsan Kaynakları'na iletmiştir. Sorunun çözülmesi için gerekli birimler bilgilendirilmiş ve bir aksiyon planı oluşturulmuştur."
40,İnsan Kaynakları,Performans Değerlendirme,"Banu Sarı, yıl sonu performans değerlendirmesinde D not almıştır. Değerlendirme kriterleri arasında hedef gerçekleştirme, takım çalışması ve problem çözme becerileri yer almaktadır. Detaylı rapor ekte sunulmuştur."
41,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Eğitim ve Gelişim departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
42,Mali İşler,Bütçe Onayı,"2024 yılı için hazırlanan bütçe planında Teknik Destek departmanına ayrılan bütçe, geçen yıla göre %10 artış göstermiştir. Bütçe detayları ve onay süreci için ilgili belgeler ekte yer almaktadır."
43,Mali İşler,Vergi Ödeme Bildirimi,Şirketimize ait vergi yükümlülükleri için 30 Haziran tarihine kadar ödeme yapılması gerekmektedir. Evrakların ilgili departmanlara gönderilmesi talep edilmiştir.
